Sample 0: No. iterations = 512, Error = 0.0986598
Sample 1: No. iterations = 512, Error = 0.0598608
Sample 2: No. iterations = 512, Error = 0.0655154
Sample 3: No. iterations = 512, Error = 0.0552221
Sample 4: No. iterations = 512, Error = 0.0481117
Sample 5: No. iterations = 512, Error = 0.0753266
Sample 6: No. iterations = 512, Error = 0.0476225
Sample 7: No. iterations = 512, Error = 0.0380439
Sample 8: No. iterations = 512, Error = 0.0492017
Sample 9: No. iterations = 512, Error = 0.0716906
Sample 10: No. iterations = 512, Error = 0.0602628
Sample 11: No. iterations = 512, Error = 0.0389788
Sample 12: No. iterations = 512, Error = 0.343743
Sample 13: No. iterations = 512, Error = 0.158963
Sample 14: No. iterations = 512, Error = 0.286396
Sample 15: No. iterations = 512, Error = 0.138685
Sample 16: No. iterations = 512, Error = 0.0197032
Sample 17: No. iterations = 512, Error = 0.0640992
Sample 18: No. iterations = 512, Error = 0.0480672
Sample 19: No. iterations = 512, Error = 0.251754
Sample 20: No. iterations = 512, Error = 0.0422533
Sample 21: No. iterations = 512, Error = 0.157675
Sample 22: No. iterations = 512, Error = 0.0513779
Sample 23: No. iterations = 512, Error = 0.0373118
Sample 24: No. iterations = 512, Error = 0.0221847
Sample 25: No. iterations = 512, Error = 0.0892869
Sample 26: No. iterations = 512, Error = 0.044907
Sample 27: No. iterations = 512, Error = 0.111335
Sample 28: No. iterations = 512, Error = 0.0233441
Sample 29: No. iterations = 512, Error = 0.0496857
Sample 30: No. iterations = 512, Error = 0.227685
Sample 31: No. iterations = 512, Error = 0.0384938
Sample 32: No. iterations = 512, Error = 0.0458309
Sample 33: No. iterations = 512, Error = 0.0401778
Sample 34: No. iterations = 512, Error = 0.163532
Sample 35: No. iterations = 512, Error = 0.288376
Sample 36: No. iterations = 512, Error = 0.232797
Sample 37: No. iterations = 512, Error = 0.0301833
Sample 38: No. iterations = 512, Error = 0.0453733
Sample 39: No. iterations = 512, Error = 0.0390941
Sample 40: No. iterations = 512, Error = 0.0273839
Sample 41: No. iterations = 512, Error = 0.0544907
Sample 42: No. iterations = 512, Error = 0.0277529
Sample 43: No. iterations = 512, Error = 0.0447347
Sample 44: No. iterations = 512, Error = 0.0271856
Sample 45: No. iterations = 512, Error = 0.0166277
Sample 46: No. iterations = 512, Error = 0.0393335
Sample 47: No. iterations = 512, Error = 0.0408187
Sample 48: No. iterations = 512, Error = 0.0858353
Sample 49: No. iterations = 512, Error = 0.113327
Sample 50: No. iterations = 512, Error = 0.046029
Sample 51: No. iterations = 512, Error = 0.031299
Sample 52: No. iterations = 512, Error = 0.169456
Sample 53: No. iterations = 512, Error = 0.0470074
Sample 54: No. iterations = 512, Error = 0.0432408
Sample 55: No. iterations = 512, Error = 0.034173
Sample 56: No. iterations = 512, Error = 0.0425536
Sample 57: No. iterations = 512, Error = 0.0341946
Sample 58: No. iterations = 512, Error = 0.0534635
Sample 59: No. iterations = 512, Error = 0.036827
Sample 60: No. iterations = 512, Error = 0.0419767
Sample 61: No. iterations = 512, Error = 0.0267573
Sample 62: No. iterations = 512, Error = 0.0277623
Sample 63: No. iterations = 512, Error = 0.0403011
Sample 64: No. iterations = 512, Error = 0.0639056
Sample 65: No. iterations = 512, Error = 0.0322785
Sample 66: No. iterations = 512, Error = 0.0236211
