Sample 44: No. iterations = 512, Error = 0.5
Sample 45: No. iterations = 512, Error = 0.5
Sample 46: No. iterations = 512, Error = 1.5
Sample 47: No. iterations = 512, Error = 1.5
Sample 48: No. iterations = 512, Error = 0.5
Sample 49: No. iterations = 512, Error = 1.5
Sample 50: No. iterations = 512, Error = 0.5
Sample 51: No. iterations = 512, Error = 1.5
Sample 52: No. iterations = 512, Error = 1.5
Sample 53: No. iterations = 512, Error = 1.5
Sample 54: No. iterations = 512, Error = 1.5
Sample 55: No. iterations = 512, Error = 1.5
Sample 56: No. iterations = 512, Error = 1.5
Sample 57: No. iterations = 512, Error = 1.5
Sample 58: No. iterations = 512, Error = 0.5
Sample 59: No. iterations = 512, Error = 1.5
Sample 60: No. iterations = 512, Error = 1.5
Sample 61: No. iterations = 512, Error = 1.5
Sample 62: No. iterations = 512, Error = 1.5
Sample 63: No. iterations = 512, Error = 1.5
Sample 64: No. iterations = 512, Error = 1.5
Sample 65: No. iterations = 512, Error = 1.5
Sample 66: No. iterations = 512, Error = 1.5
Sample 67: No. iterations = 512, Error = 1.5
Sample 68: No. iterations = 512, Error = 1.5
Sample 69: No. iterations = 512, Error = 1.5
Sample 70: No. iterations = 512, Error = 1.5
Sample 71: No. iterations = 512, Error = 1.5
Sample 72: No. iterations = 512, Error = 1.5
Sample 73: No. iterations = 512, Error = 1.5
Sample 74: No. iterations = 512, Error = 0.5
Sample 75: No. iterations = 512, Error = 1.5
Sample 76: No. iterations = 512, Error = 1.5
Sample 77: No. iterations = 512, Error = 1.5
Sample 78: No. iterations = 512, Error = 0.5
Sample 79: No. iterations = 512, Error = 1.5
Sample 80: No. iterations = 512, Error = 1.5
Sample 81: No. iterations = 512, Error = 1.5
Sample 82: No. iterations = 512, Error = 1.5
Sample 83: No. iterations = 512, Error = 1.5
Sample 84: No. iterations = 512, Error = 0.5
Sample 85: No. iterations = 512, Error = 1.5
Sample 86: No. iterations = 512, Error = 0.5
Sample 87: No. iterations = 512, Error = 1.5
Sample 88: No. iterations = 512, Error = 0.5
Sample 89: No. iterations = 512, Error = 1.5
Sample 90: No. iterations = 512, Error = 1.5
Sample 91: No. iterations = 512, Error = 0.5
Sample 92: No. iterations = 512, Error = 1.5
Sample 93: No. iterations = 512, Error = 1.5
Sample 94: No. iterations = 512, Error = 0.5
Sample 95: No. iterations = 512, Error = 1.5
Sample 96: No. iterations = 512, Error = 1.5
Sample 97: No. iterations = 512, Error = 1.5
Sample 98: No. iterations = 512, Error = 1.5
Sample 99: No. iterations = 512, Error = 1.5
