Sample 112: No. iterations = 512, Error = 0.0116318
Sample 113: No. iterations = 512, Error = 0.0127023
Sample 114: No. iterations = 512, Error = 0.00962245
Sample 115: No. iterations = 512, Error = 0.0100797
Sample 116: No. iterations = 512, Error = 0.0103578
Sample 117: No. iterations = 512, Error = 0.0100197
Sample 118: No. iterations = 512, Error = 0.00899134
Sample 119: No. iterations = 512, Error = 0.00887243
Sample 120: No. iterations = 512, Error = 0.00945365
Sample 121: No. iterations = 512, Error = 0.0100395
Sample 122: No. iterations = 512, Error = 0.0103151
Sample 123: No. iterations = 512, Error = 0.0106959
Sample 124: No. iterations = 512, Error = 0.0114782
Sample 125: No. iterations = 512, Error = 0.00961227
Sample 126: No. iterations = 512, Error = 0.00993173
Sample 127: No. iterations = 512, Error = 0.0110243
Sample 128: No. iterations = 512, Error = 0.0116372
Sample 129: No. iterations = 512, Error = 0.00954165
Sample 130: No. iterations = 512, Error = 0.00924701
Sample 131: No. iterations = 512, Error = 0.0101926
Sample 132: No. iterations = 512, Error = 0.0111008
Sample 133: No. iterations = 512, Error = 0.0101951
Sample 134: No. iterations = 512, Error = 0.0109555
Sample 135: No. iterations = 512, Error = 0.0102411
Sample 136: No. iterations = 512, Error = 0.0106904
Sample 137: No. iterations = 512, Error = 0.0108993
Sample 138: No. iterations = 512, Error = 0.00961186
Sample 139: No. iterations = 512, Error = 0.00952019
Sample 140: No. iterations = 512, Error = 0.0118996
Sample 141: No. iterations = 512, Error = 0.0112939
Sample 142: No. iterations = 512, Error = 0.00963156
Sample 143: No. iterations = 512, Error = 0.00975549
Sample 144: No. iterations = 512, Error = 0.00955909
Sample 145: No. iterations = 512, Error = 0.0137022
Sample 146: No. iterations = 512, Error = 0.0108266
Sample 147: No. iterations = 512, Error = 0.0106018
Sample 148: No. iterations = 512, Error = 0.0102384
Sample 149: No. iterations = 512, Error = 0.00927496
Sample 150: No. iterations = 512, Error = 0.0107047
Sample 151: No. iterations = 512, Error = 0.0100453
Sample 152: No. iterations = 512, Error = 0.010793
Sample 153: No. iterations = 512, Error = 0.011463
Sample 154: No. iterations = 512, Error = 0.00922089
Sample 155: No. iterations = 512, Error = 0.00973932
Sample 156: No. iterations = 512, Error = 0.0108598
Sample 157: No. iterations = 512, Error = 0.00986835
Sample 158: No. iterations = 512, Error = 0.00996164
Sample 159: No. iterations = 512, Error = 0.0100978
Sample 160: No. iterations = 512, Error = 0.0107168
Sample 161: No. iterations = 512, Error = 0.0107528
Sample 162: No. iterations = 512, Error = 0.0110711
Sample 163: No. iterations = 512, Error = 0.0100079
Sample 164: No. iterations = 512, Error = 0.00976292
Sample 165: No. iterations = 512, Error = 0.0103351
Sample 166: No. iterations = 512, Error = 0.010161
Sample 167: No. iterations = 512, Error = 0.0104425
Sample 168: No. iterations = 512, Error = 0.00913243
Sample 169: No. iterations = 512, Error = 0.0093344
Sample 170: No. iterations = 512, Error = 0.0109454
Sample 171: No. iterations = 512, Error = 0.010338
Sample 172: No. iterations = 512, Error = 0.00964069
Sample 173: No. iterations = 512, Error = 0.0135713
Sample 174: No. iterations = 512, Error = 0.0119069
Sample 175: No. iterations = 512, Error = 0.0118145
Sample 176: No. iterations = 512, Error = 0.0101817
Sample 177: No. iterations = 512, Error = 0.0109618
Sample 178: No. iterations = 512, Error = 0.0120077
Sample 179: No. iterations = 512, Error = 0.010032
Sample 180: No. iterations = 512, Error = 0.0129199
Sample 181: No. iterations = 512, Error = 0.0104944
Sample 182: No. iterations = 512, Error = 0.00897432
Sample 183: No. iterations = 512, Error = 0.00968921
Sample 184: No. iterations = 512, Error = 0.0114276
Sample 185: No. iterations = 512, Error = 0.00930415
Sample 186: No. iterations = 512, Error = 0.0116964
Sample 187: No. iterations = 512, Error = 0.00997158
Sample 188: No. iterations = 512, Error = 0.0112302
Sample 189: No. iterations = 512, Error = 0.0104779
Sample 190: No. iterations = 512, Error = 0.00961369
Sample 191: No. iterations = 512, Error = 0.0126672
Sample 192: No. iterations = 512, Error = 0.00898803
Sample 193: No. iterations = 512, Error = 0.0104343
Sample 194: No. iterations = 512, Error = 0.0106019
Sample 195: No. iterations = 512, Error = 0.0106851
Sample 196: No. iterations = 512, Error = 0.00953161
Sample 197: No. iterations = 512, Error = 0.0115938
Sample 198: No. iterations = 512, Error = 0.00973068
Sample 199: No. iterations = 512, Error = 0.0103408
Sample 200: No. iterations = 512, Error = 0.0109919
Sample 201: No. iterations = 512, Error = 0.0118292
Sample 202: No. iterations = 512, Error = 0.0102736
Sample 203: No. iterations = 512, Error = 0.0117545
Sample 204: No. iterations = 512, Error = 0.0104474
Sample 205: No. iterations = 512, Error = 0.0118885
Sample 206: No. iterations = 512, Error = 0.0103242
Sample 207: No. iterations = 512, Error = 0.0114193
Sample 208: No. iterations = 512, Error = 0.0107385
Sample 209: No. iterations = 512, Error = 0.0100318
Sample 210: No. iterations = 512, Error = 0.0086737
Sample 211: No. iterations = 512, Error = 0.0107737
Sample 212: No. iterations = 512, Error = 0.010447
Sample 213: No. iterations = 512, Error = 0.00996486
Sample 214: No. iterations = 512, Error = 0.00925445
Sample 215: No. iterations = 512, Error = 0.00895633
